timestamp,grupo_edad,sexo,freq_compra_anual,canal_compra_moda,gasto_mensual_moda,rrss_habituales,marcas_ve_frecuencia_rrss,tiempo_rrss_dia,freq_contenido_moda_rrss,sigue_influencers_moda,rs_influyen_compra,ha_comprado_por_ver_en_rrss,descubre_marcas_por_rrss,contenido_moda_aumenta_ganas,compra_por_repeticion_rrss,rrss_mas_que_publicidad,atraen_prendas_de_moda,compra_impulso,influye_prueba_social,interes_productos_virales,rrss_aceleran_tendencias,rrss_favorecen_consumo_rapido,ha_comprado_y_apenas_usado,confia_influencers,autenticidad_influencer_compra,influencers_interes_comercial,compra_ult_6m_por_rrss,freq_compra_por_rrss_6m,marcas_que_mas_influyen_compra_rrss,satisfaccion_compra_rrss,arrepentimiento_compra_rrss,seguira_comprando_influido_rrss,recomendaria_productos_descubiertos_rrss,id_respuesta,compra_ult_6m_por_rrss_bin,indice_influencia_rrss,indice_impulso_tendencia,indice_confianza_influencers,indice_escepticismo_influencers,indice_difusion_fastfashion,indice_postcompra,indice_riesgo_arrepentimiento,target_recomendaria_bin,target_seguira_comprando_bin
2026-03-15 21:12:00,18 - 28 años,Mujer,4,5,Menos de 30€,Instagram;Pinterest,Zara;Shein;No me fijo en marcas concretas,3,3,1,1,5,5,4,1,5,2,3,3,2,4,5,1,1,5,4,No,,Zara;Otra,5,1,3,4,1,0,4.0,2.2,3.0,4.0,4.5,4.0,1.0,1.0,0.0
2026-03-15 21:12:22,18 - 28 años,Mujer,3,2,Menos de 30€,Instagram;TikTok;YouTube;X (Twitter),Zara;Shein,3,2,4,3,5,5,3,2,5,4,4,4,4,4,3,5,3,5,4,Sí,3.0,Shein,3,4,5,5,2,1,4.2,3.6,4.0,4.0,3.5,4.333333333333333,4.5,1.0,1.0
2026-03-15 21:12:53,18 - 28 años,Mujer,1,4,Menos de 30€,Instagram;TikTok;YouTube;X (Twitter),No me fijo en marcas concretas,5,1,1,3,2,2,1,3,1,1,1,1,2,2,4,4,2,2,2,No,2.0,Shein;Mango;H&M,3,2,2,2,3,0,1.8,1.6,2.0,2.0,3.0,2.333333333333333,3.0,0.0,0.0
2026-03-15 21:13:13,18 - 28 años,Hombre,1,5,30 - 60€,Instagram;X (Twitter),No me fijo en marcas concretas,2,1,1,1,2,3,2,1,4,1,1,1,1,5,5,3,2,4,5,No,,Ninguna,3,3,1,1,4,0,2.4,1.0,3.0,5.0,5.0,1.6666666666666667,3.0,0.0,0.0
2026-03-15 21:14:09,18 - 28 años,Mujer,2,5,Menos de 30€,Instagram;YouTube;Otra,Shein;Otra,1,1,1,2,1,1,2,1,1,2,1,2,1,5,5,1,1,2,5,No,,Ninguna,2,1,1,2,5,0,1.4,1.4,1.5,5.0,5.0,1.6666666666666667,1.0,0.0,0.0
2026-03-15 21:14:11,18 - 28 años,Mujer,2,4,Menos de 30€,Instagram;TikTok;YouTube;X (Twitter),Shein,4,3,1,4,4,4,5,2,4,4,1,1,2,5,4,1,2,5,4,No,,Shein,4,4,3,5,6,0,4.2,2.0,3.5,4.0,4.5,4.0,2.5,1.0,0.0
2026-03-15 21:17:50,18 - 28 años,Hombre,2,4,30 - 60€,Instagram;TikTok;YouTube;Pinterest;X (Twitter),No me fijo en marcas concretas,3,2,2,2,1,1,1,1,1,1,1,2,1,5,5,1,1,2,2,No,,Zara,4,2,2,1,7,0,1.2,1.2,1.5,2.0,5.0,2.333333333333333,1.5,0.0,0.0
2026-03-15 21:21:12,18 - 28 años,Mujer,3,5,30 - 60€,Instagram;TikTok,Zara,5,4,3,2,2,2,2,3,4,2,4,3,3,4,4,3,3,4,5,Sí,2.0,Zara,3,4,2,3,8,1,2.4,3.0,3.5,5.0,4.0,2.6666666666666665,3.5,0.0,0.0
2026-03-15 21:24:18,18 - 28 años,Mujer,2,5,Menos de 30€,YouTube;Pinterest,No me fijo en marcas concretas,1,2,1,2,3,1,3,2,3,3,2,3,2,5,5,2,1,4,5,No,,Ninguna,2,3,2,2,9,0,2.4,2.4,2.5,5.0,5.0,2.0,2.5,0.0,0.0
2026-03-15 21:25:47,18 - 28 años,Hombre,3,2,30 - 60€,Instagram;TikTok;YouTube,Zara,3,2,2,2,3,4,2,1,5,4,1,3,2,3,3,2,1,2,5,No,,Ninguna,3,5,3,3,10,0,3.2,2.2,1.5,5.0,3.0,3.0,3.5,0.0,0.0
