id_respuesta,grupo_edad,sexo,freq_compra_anual,canal_compra_moda,gasto_mensual_moda,tiempo_rrss_dia,freq_contenido_moda_rrss,sigue_influencers_moda,compra_ult_6m_por_rrss_bin,indice_influencia_rrss,indice_impulso_tendencia,indice_confianza_influencers,indice_escepticismo_influencers,indice_difusion_fastfashion,indice_riesgo_arrepentimiento,target_recomendaria_bin,target_seguira_comprando_bin
1,18 - 28 años,Mujer,4,5,Menos de 30€,3,3,1,0,4.0,2.2,3.0,4.0,4.5,1.0,1.0,0.0
2,18 - 28 años,Mujer,3,2,Menos de 30€,3,2,4,1,4.2,3.6,4.0,4.0,3.5,4.5,1.0,1.0
3,18 - 28 años,Mujer,1,4,Menos de 30€,5,1,1,0,1.8,1.6,2.0,2.0,3.0,3.0,0.0,0.0
4,18 - 28 años,Hombre,1,5,30 - 60€,2,1,1,0,2.4,1.0,3.0,5.0,5.0,3.0,0.0,0.0
5,18 - 28 años,Mujer,2,5,Menos de 30€,1,1,1,0,1.4,1.4,1.5,5.0,5.0,1.0,0.0,0.0
6,18 - 28 años,Mujer,2,4,Menos de 30€,4,3,1,0,4.2,2.0,3.5,4.0,4.5,2.5,1.0,0.0
7,18 - 28 años,Hombre,2,4,30 - 60€,3,2,2,0,1.2,1.2,1.5,2.0,5.0,1.5,0.0,0.0
8,18 - 28 años,Mujer,3,5,30 - 60€,5,4,3,1,2.4,3.0,3.5,5.0,4.0,3.5,0.0,0.0
9,18 - 28 años,Mujer,2,5,Menos de 30€,1,2,1,0,2.4,2.4,2.5,5.0,5.0,2.5,0.0,0.0
10,18 - 28 años,Hombre,3,2,30 - 60€,3,2,2,0,3.2,2.2,1.5,5.0,3.0,3.5,0.0,0.0
11,18 - 28 años,Mujer,4,2,Menos de 30€,4,4,5,0,4.0,3.4,3.5,4.0,5.0,3.0,0.0,1.0
12,18 - 28 años,Mujer,4,2,30 - 60€,2,4,4,1,2.8,2.8,4.0,3.0,4.0,2.5,1.0,1.0
13,18 - 28 años,Mujer,4,1,30 - 60€,3,3,3,1,4.2,4.0,3.0,5.0,5.0,5.0,1.0,1.0
14,18 - 28 años,Mujer,4,3,61 - 100€,2,5,4,1,5.0,4.0,4.5,4.0,5.0,3.0,1.0,1.0
15,18 - 28 años,Mujer,5,5,Menos de 30€,2,2,1,1,3.6,3.2,4.0,5.0,5.0,1.0,1.0,1.0
16,18 - 28 años,Mujer,4,1,Menos de 30€,4,3,4,1,4.8,3.2,5.0,4.0,4.0,1.5,1.0,1.0
